Rubro,Texto
Clothing & Accessories,"RC. ROYAL CLASS Women's Woolen Ankle Length Multicolored Socks (Pack of 5 Pairs) This winter gives your feet a soothing touch with royal class woolen ankle thumb socks for women, made from soft woolen blend yarn and spandex for elasticity. Do not iron or bleach. Hand wash only."
Clothing & Accessories,"QRAFTINK Premium Quality Pack of 5 Skin Ultra-Thin Transparent Nylon Summer Skin Socks for Women/Girl's (Ankle Length) with Thumb QraftinkWomen's Ultra Thin Transparent Ankle skin Socks are marketed by QRAFTINK to comfortably mould to the natural contours of your leg, but without tight elastication, so avoiding the discomfort caused by constriction rings pressuring sensitive skin. Specification:- These Socks are made from Cotton & Lycra to provide you with Extra Stretch, Light weight and Temperature Regulation. These socks give you unparalleled comfort and are great for healthy feet by absorbing moisture and wicking it away from your skin. Super Quality make it perfect for all day comfort. Features:- Qraftink socks are created to provide a great fit, supreme comfort, and superior performance. They are soft and durable. Socks will provide the perfect finishing touch to any formal or casual look."
Clothing & Accessories,"ISAKAA Baby Socks from Just Born to 8 Years- Pack of 4, 6, 8 and 12 ISAKAA presents Soft and Designer baby socks for your little one's feet,it keeps babies feet warm and comfortable. These regular-socks are light in weight and easy to wear. They are a perfect and elegant fit for babies feet which will provide comfort feel all day long. These socks for your little ones are breathable and comfortable to wear. Attractive color and design gives a stylish look. ISAKAA Baby socks helps to keep your little ones feet protected and warm. Made out of super-fine cotton blend fabric socks are stretchable and machine washable. These cute bunch of fabrics are perfect gift for those little feets. Infants loves to crawl and walk around,these socks will protect the little feet and keep it clean. These socks have a pressure-free sensitive elastic to ensure hold without tightness. Their contrast pretty colors and unique designs on each sock makes them irresistible."
Clothing & Accessories,"Supersox Kid's Combed Cotton School Socks Pack of 5 (Black) Crafted from best quality Yarn, these 5 pairs of Kids School Combed Cotton Socks from the house of Supersox are a must-buy! These socks are made of stretch cotton, which will keep you at ease all day long. These socks can be paired with casual as well as formal shoes.Every pair made with care.Finest cotton along with the perfect workmanship.supersox is the standard of ultimate style and comfort."
Clothing & Accessories,FOOTPRINTS Organic cotton Baby Boy Girls Kids Socks-12-30 Months - Pack of 8 Pairs -P3 Stripes & P5 Blue These Footprints socks are Made from pure organic cotton and ecofriendly fibers and colors . They are free from harmful chemicals and coloured dyes which may cause harm to super sensitive skin of your baby. Footprints socks are blended with ecofriendly fiber which does not allow bacteria to grow hence making them antibacterial. Key Features 1. Organic Cotton 2. AntiBacterial 3. Anti Microbial 4. Anti Allergic- No Skin rashes and irratation
Clothing & Accessories,"RC. ROYAL CLASS Ankle Soft Cotton Multicolored Socks for Boys & Girls (pack of 5 pairs) RC. ROYAL CLASS Ankle length designer pure cotton socks for boys and girls in assorted colors, made from soft cotton yarn and spandex for stretch and elasticity. Very soft cotton socks for kids, from age group 1- 20 years. Do not Iron or Bleach. Hand wash only. Made in India. Pack contains 5 designs and 5 different colors(same as shown in product image)."
Clothing & Accessories,"ISAKAA Baby Socks from Just Born to 8 Years- Pack of 4, 6, 8 and 12 ISAKAA presents Soft and Designer baby socks for your little one's feet,it keeps babies feet warm and comfortable. These regular-socks are light in weight and easy to wear. They are a perfect and elegant fit for babies feet which will provide comfort feel all day long. These socks for your little ones are breathable and comfortable to wear. Attractive color and design gives a stylish look. ISAKAA Baby socks helps to keep your little ones feet protected and warm. Made out of super-fine cotton blend fabric socks are stretchable and machine washable. These cute bunch of fabrics are perfect gift for those little feets. Infants loves to crawl and walk around,these socks will protect the little feet and keep it clean. These socks have a pressure-free sensitive elastic to ensure hold without tightness. Their contrast pretty colors and unique designs on each sock makes them irresistible."
Clothing & Accessories,FOOTPRINTS Organic cotton Baby Boy Girls Kids Socks-12-30 Months - Pack of 8 Pairs -P3 Stripes & P5 Blue These Footprints socks are Made from pure organic cotton and ecofriendly fibers and colors . They are free from harmful chemicals and coloured dyes which may cause harm to super sensitive skin of your baby. Footprints socks are blended with ecofriendly fiber which does not allow bacteria to grow hence making them antibacterial. Key Features 1. Organic Cotton 2. AntiBacterial 3. Anti Microbial 4. Anti Allergic- No Skin rashes and irratation
Clothing & Accessories,"Tex Homz Unisex Mercerised Anti-Slip Cotton Loafer Socks (Grey White Blue Black, Free Size) - Pack of 5 Get the no-socks look with these extremely discreet loafer socks from Tex Home. The socks not only help you look good but also enhance the life of your shoes, while keeping your feet clean and fresh."
Clothing & Accessories,"Voberry Voberry Baby-Girl's Socks, Toddlers Lace Bow Knee High Socks Long Soft Cotton Socks Package Content:1Pair Socks"
Clothing & Accessories,"Blinkin Ultra-Thin Black Princess Socks for women/Girl's (Ankle Length) Blinkin Women's Ultra Thin Transparent Crystal lace Ankle skin Socks are marketed by BLINKIN to comfortably mould to the natural contours of your leg, but without tight elastication, so avoiding the discomfort caused by constriction rings pressuring sensitive skin. Specification:- These Socks are made from Cotton & Lycra to provide you with Extra Stretch, Light weight and Temperature Regulation. These socks give you unparalleled comfort and are great for healthy feet by absorbing moisture and wicking it away from your skin. Super Quality make it perfect for all day comfort. Features:- Blinkin socks are created to provide a great fit, supreme comfort, and superior performance. They are soft and durable. Socks will provide the perfect finishing touch to any formal or casual look."
Clothing & Accessories,"RC. ROYAL CLASS Full Length Soft Cotton Unisex Socks - Pack of 5 Pairs RC. ROYAL CLASS pure cotton socks for boys and girls in assorted colors, made from soft cotton yarn and spandex for stretch and elasticity. Very soft cotton socks for kids, from age group 1- 8 years. Do not iron or bleach. Hand wash only."
Clothing & Accessories,"Jockey Women's Cotton Low show socks Jockey International, Inc. is a leading designer, marketer, retailer, and licensor of men’s undergarments and women’s intimates. Jockey is a third generation family-owned company, headquartered between Chicago and Milwaukee in Kenosha, Wisconsin. The company employs over 1,600 associates around the world with operations in Canada, Hong Kong, New York, North Carolina, and Germany. JOCKEY is a registered trademark in over 120 countries."
Clothing & Accessories,"We Bare Bears Kids Cushioned Low Cut socks by Balenzia - Pack of 3 Balenzia, the leading brand of socks in India has launched a quirky collection of We Bare Bears socks. This funky collection is made with finest cotton yarns and highest quality standards ensuring that each sock provides incredible comfort, breathability and durability. Officially licensed product."
Clothing & Accessories,"DADDY G Women's Cotton Knee High Socks (Multicolour, Free Size) - Pack of 2 Black and white knee-high girl's socks. The socks are crafted using finest cotton to please your skin with secure stable fit from toe to knee. They protect and keep your feet and leg clean and safe. You can pair up these socks with shorts, skirts to compliment your look. These multipurpose socks are for school, office and party as it pairs up well with many dresses. Length: 81 cm width:10 cm."
Clothing & Accessories,"Aeoss Women's 3 Pairs Vintage Style Winter Knitting Warm Wool Crew Socks, A-Wave, Free Size Multicolor If you are looking for comfortable and fashion winter socks, these warm wool socks are very suitable for you. Experience ultra-plush warm and comfortable with the perfect jacquard weave vintage socks. These socks feature stylish patterns and vibrant colors that will put a fun finishing touch on your outfits. Perfect for everyday wear. * Womens winter socks made of 35% wool + 29% cotton + 36% polyester, Soft, breathable, wearable, moisture-wicking and odor-fighting. * Our wool socks are free size 23 to 25cm, suitable for women US shoe size 5 to 9, They are elastic and perfectly make it suitable for your feet. * Vintage and trendy design warm socks that will coordinate with whatever you're wearing. Brighten up those cold winter mornings with these snuggly socks to keep your toes warm. * Special design various patterns, full of great fun and joy. Soft and comfortable wool and cotton fabric on your feet, accompany you around every corner, go on a trip with you and living your colorful life."
Clothing & Accessories,"Bonjour Women's Socks (Pack of 4) These extremely comfortable ankle length socks are constructed with Cotton and Lycra, The soft and lightweight cotton blend fabric of these socks offers a comfortable wear, which makes them soft against the skin and high on quality."
Clothing & Accessories,Creature Multicolored Cotton No Show Socks For Women/Girls | Loafer socks For Women/Girls Pack of 4 Pair(SCS-23) These socks are crafted from 100 percent combed cotton and hence will keep your feet comfy and cozy all through the day. Get the Ankle with these extremely discreet Ankle socks from Creature. The socks not only help you look good but also enhance the life of your shoes while keeping your feet clean and fresh.
Clothing & Accessories,"RC. ROYAL CLASS Boys and Girls Calf Length Cotton Elegant Multicolored Socks (Pack of 5 Pairs) Royal Class brings one of the most premium socks for Boys & Girls, made from super soft combed cotton yarn and spandex for elasticity. These socks are designed in such a way to keep your kids warm in winters and cool in summers."
Clothing & Accessories,"Bonjour Girls' Tights Bonjour baby tight keeps your baby’s legs warm in the coldest weather. When the weather is cold outside, this tight prevents small toes and legs from freezing. Made with a mix soft brushed cotton & lycra, treated with a special antimicrobial treatment. These tights offer non bulky , bacteria free warmth. Made from stretchable and breathable fabrics, these can be worn with tees and dresses anytime. Contrast colour with attractive and pretty design make it stylish."
Clothing & Accessories,"Tex Homz Unisex Cotton Anti Slip Cotton Loafers No Show Socks (Multicolour, Free Size) Pack of 6"
Clothing & Accessories,"RC. ROYAL CLASS Women's Ankle Length Double Knit Thumb Cotton Multicolored Socks (Pack of 5 Pairs) Royal Class brings one of the most premium socks for girls made from very soft cotton yarn and spandex for elasticity. Double knit self design socks, one the softest and unique socks available in the market."
Electronics,"Wooky Aqua Stone-10 5W Wireless Waterproof Bluetooth Portable Outdoor Speaker (Black) This Wooky Aqua Stone-10 best wireless portable speaker is designed to port high quality music with you, distortion-free sound wherever you go. Superior sound with detailed design. Equipped with high quality feature and resistance technology. These travel speakers are light in weight, waterproof, shockproof, easily portable, works as a fashion accessory and speaks about your personality whenever you carry it. The underdog with water resistance and shock proofing. Aqua Stone-10 functions smooth in all the terrains and environment. Hassle-free easy connection via Bluetooth and AUX. Commits to be your favourite companion with immersive sound in pool parties, get together, relax time, personal time and home affairs. Wooky promotes the idea of serious audio with affordable fashion forward high end styling for the music lovers who like to plug in powerful audio bolt in their life and plunge into it. Music-on-the-go is what we take ahead with our range of modernized, rugged and designed levelled up audio products - earphones, headphones and speakers. Meant for each age group and gender with a common attribute - love for music in their 'me' time or party time. Note: You need to switch between Bluetooth or AUX modes to connect."
Electronics,"Electronic traders Ahuja Speaker Outdoor/Indoor Srx 50Dx 2-8Inch, 50W A compact general purpose speaker column using two full range dual cone 8"" speakers, reproducing a clean undistorted sound for both speech and music. The system is housed in a rugged closed box enclosure made of 12mm medium density fibre board, and has a durable black shock resistant paint finish. Srx-50dx has nominal impedance of 16w, srx-50xt operates on 100v line with three power taps selectable through a rotary switch."
Electronics,"Ahuja Portable PA system WP-220 with free Max cord brand connector for connecting mobile/PC 1) Wireless PA System WP-220 is perfect for use in Class Rooms, Meetings, Presentations, Wedding Parties, Bus Tours, Outdoor Activities or any application where permanent sound facilities are not available. 2) Built in amplifier with 1 wireless mic, USB/SD player (with recording facility), AUX and Mic inputs. 3) The wireless feature permits easy and hassle-free installation and usage. 4) The compact size of WP-220 allows you to conveniently place it anywhere. 5) Compact, lightweight & easy to carry. 6) Sufficient to cover a gathering of 100 people. 7) Operates on 3 power sources: AC 220-240V, 50/60Hz DC 12-15V Car Battery, 12V 1.2Ah rechargeable battery 8) Can Connect: CD Player, Cassette Recorder, Wired Microphone, PC/Laptop. 9) Distance coverage is around 60 feet approx"
Electronics,"Ahuja Speaker 50Watts Outdoor/Indoor Speaker Srx 50Dx, 2-8Inch Speakers With 2 Meters John Barrel, Weather Resistance Speaker Cable A compact general purpose speaker column using two Full Range Dual Cone 8"" speakers, reproducing a clean undistorted sound for both speech and music. The system is housed in a Rugged Closed Box Enclosure made of 12mm medium density fibre board, and has a durable black shock resistant paint finish. SRX-50DX has nominal impedance of 16W, SRX-50XT operates on 100V line with three power taps selectable through a rotary switch."
Electronics,I KALL IK-001 Bluetooth Single Speaker Portable Indoor Outdoor Wireless/Wired Speaker (Black)
Electronics,"Zoook Rocker M2-Mean Machine 5-in-1 Hi-Fi Bluetooth Speakers Product Description Yet another addition to the Rocker family, inculcating all the core values of Rocker Series to enhance your music listening experience, Rocker Mean Machine is one of the most versatile speakers we at Zoook have ever made! Perfect for indoor and outdoor parties with deep thumping bass like you’ve never heard. Designed to fill the room with rich and crisp sound, the Rocker Mean Machine is packed with a massive 10W 3” Subwoofer that gives you true HD sound quality and it also comes with a shoulder strap so that you can carry your music wherever you go. 				    	 					 From the Manufacturer     Stream Music Wirelessly with Bluetooth Zoook Rocker Mean Machine Portable Bluetooth speaker has A2DP Stereo Bluetooth playback. It connects and wirelessly streams music from any Bluetooth-enabled device such as your mobile phone, notebook, or other portable audio contrivance. The speaker has an immensely colossal 32 foot range that sanctions for maximum mobility. If Bluetooth isn’t an option, the 3.5 mm Aux Jack can be acclimated to plug directly into your Speaker. This way you will always be able to play your favourite music no matter what media device it is on.     Lightweight and Portable Rocker Mean Machine comes in Black colour. The Speaker is only 2.9 pounds making it very lightweight and additionally has a strap that can be annexed for facile portability. The cylindrical shape of the Speaker makes it easy to fit into any backpack or travel bag, perfect for on-the-go music experience.     Perfect Speaker for Any Occasion It has a built-in 3 inch 10 Watt subwoofer which distributes incredible sound and delivers thumping bass that can be facilely packed up and taken anywhere you optate. This makes it the impeccable cull for camping trips, sporting events, tail gaiters or just hanging out in the back yard.      On Board Controls/Ports Micro USB DC 5V  USB port  3.5Aux port  SD card slot  On/Off switch  Mode button  Previous track/Next track  Play/Pause  Volume slider     From ZOOOK, the Choice of Millions of Happy Users  Industry-Leading Technology Worry-Free Warranty 99% Positive Feedback     What’s in the box 1 x Zoook Rocker M2  1 x Shoulder strap 1 x Aux-in cable 1 x Micro usb charging cable 1 x user Manual  1 x TF to SD card adapter 1 x Warranty card"
Electronics,"boAt Stone 260 Portable Bluetooth Speakers (Charcoal Black) Colour:Charcoal Black   BoAt Stone 260 portable Bluetooth speaker can be wirelessly connected to Bluetooth devices such as smartphones, tablets and computers to playback any music collection stored on them. Thanks to its powerful battery, the system delivers powerful sound, separated from any mains supply, for up to 4-5 hours and is the perfect companion for you in the park, or whilst camping or on the beach. What's more? It sports a trendy look and is IPX5 waterproof certified. Process control can get rid of complicated connections and wiring distance constraints, users can enjoy high-quality music. Plug it in plug into Nirvana. Technical Details: Brand :Boat Model :Stone 260 Item Weight :440 g Package Dimensions:14 x 13.8 x 5.8 cm Batteries :1 Lithium ion batteries required. Speaker Connectivity :Wireless Batteries Included :No Batteries Required :No Battery Cell Composition :Lithium Ion"
Electronics,"Ahuja Portable PA system WP-220 with free Max cord brand connector for connecting mobile/PC 1) Wireless PA System WP-220 is perfect for use in Class Rooms, Meetings, Presentations, Wedding Parties, Bus Tours, Outdoor Activities or any application where permanent sound facilities are not available. 2) Built in amplifier with 1 wireless mic, USB/SD player (with recording facility), AUX and Mic inputs. 3) The wireless feature permits easy and hassle-free installation and usage. 4) The compact size of WP-220 allows you to conveniently place it anywhere. 5) Compact, lightweight & easy to carry. 6) Sufficient to cover a gathering of 100 people. 7) Operates on 3 power sources: AC 220-240V, 50/60Hz DC 12-15V Car Battery, 12V 1.2Ah rechargeable battery 8) Can Connect: CD Player, Cassette Recorder, Wired Microphone, PC/Laptop. 9) Distance coverage is around 60 feet approx"
Electronics,"Ahuja Speaker 50Watts Outdoor/Indoor Speaker Srx 50Dx, 2-8Inch Speakers With 2 Meters John Barrel, Weather Resistance Speaker Cable A compact general purpose speaker column using two Full Range Dual Cone 8"" speakers, reproducing a clean undistorted sound for both speech and music. The system is housed in a Rugged Closed Box Enclosure made of 12mm medium density fibre board, and has a durable black shock resistant paint finish. SRX-50DX has nominal impedance of 16W, SRX-50XT operates on 100V line with three power taps selectable through a rotary switch."
Electronics,"boAt Stone 260 Portable Bluetooth Speakers (Charcoal Black) Colour:Charcoal Black   BoAt Stone 260 portable Bluetooth speaker can be wirelessly connected to Bluetooth devices such as smartphones, tablets and computers to playback any music collection stored on them. Thanks to its powerful battery, the system delivers powerful sound, separated from any mains supply, for up to 4-5 hours and is the perfect companion for you in the park, or whilst camping or on the beach. What's more? It sports a trendy look and is IPX5 waterproof certified. Process control can get rid of complicated connections and wiring distance constraints, users can enjoy high-quality music. Plug it in plug into Nirvana. Technical Details: Brand :Boat Model :Stone 260 Item Weight :440 g Package Dimensions:14 x 13.8 x 5.8 cm Batteries :1 Lithium ion batteries required. Speaker Connectivity :Wireless Batteries Included :No Batteries Required :No Battery Cell Composition :Lithium Ion"
Electronics,"5 Core Trolley Type PA Personal DJ System The best-selling, well-approved, sturdy, and rugged 5C PDJ 2009BT Portable Wireless Amplifier with striking features such as built-in MP3 playback facility alongside easy-to-port-trolley with premium-quality V.H.F Microphone included in the accessories. Features: With Bluetooth Mode enabled Built in MP3 playback facility, excellent sound Good transmitting & receiving capacity of remote Two Highly Advanced easy-grip Wireless Microphones with Digital Display and Great Sensitivity pick-up (best in its class) Low power consumption Standby – 48 Hours DJ Light Available Long battery life Transformer with copper wire and best grade core Portable, USB, Echo, FM, Wireless Microphone cartridge – Neodymium magnet cartridge Rechargeable, USB, Echo, FM, 8-inch speaker With trolley for easy to carry and convenience Drawer is placed at the back of the cabinet to keep the accessories safe and easy to carry. Technical Specifications: Receiver: Music Power - 100W (MAX) Frequency Range - 180-270 MHZ S/N Ratio: - ≥ 80dB Power Supply - AC220V-240V 50/60 Hz ~50Hz/Built-in DC 12V, Rechargeable battery Receive Type - FM Frequency Shock: - ±0.005% (–20°C~40°C) T.H.D - <0.5% (10dB V) Freq. Response - 150Hz~15KHz Transmitter: Freq. Response - 150Hz~15KHz Operating Temp. - –20°C~40°C Power Supply - DC 9V Ampere Consume - 25mA Transmit Power - 10mW Subharmonic - <50dB Receiver: Input - Double Wireless Channel, 2 Wired MIC input, 1 Line input. Speaker - Woofer: 4Ω (8""x1) Tweeter - 4Ω (3""x1) Service Distance - Ø80m (in the wide open of spaces) Size - 300X253X470mm Built-in Rechargeable: Battery - DC 12/4Ah Weight - 12.7 Kgs"
Electronics,"Qualimate 12 Inch Karaoke Bluetooth PA System Portable Trolley Speaker with 2 Wireless Mic, Remote Control, FM Radio and AUX/TF/USB Qualimate Karaoke PA System, set included what you need: Bluetooth speaker with telescoping rear-handle and wheels, wireless microphone, remote control, support FM radio function and various connection . Just play your favorite music, enjoy the strong bass, clear and rich vocal, makes it filled with your house, bedroom, party. Be your own by using the wireless microphone with the background music to have a passionate speech. Specifications: Speaker Unit:1 12"" Speaker +1 3"" tweeter. Power Output: 100 W Power Input: AC100-240V Adapter Output: 9V 0.8A Battery: Lithium 7.4V R.Frequency: 90Hz-20kHz S/N Ratio: 60B Working Time: Up to 8 Hours Color: Black Package: 1 Karaoke Speaker Set 2 x Wireless Microphone 1 x Remote Control (Battery not included) 1 x Power Cable with Adapter 1 x Audio Cable(portable trolly speaker wireless, trolly speaker with bluetooth mic, portable bluetooth speaker)."
Electronics,"JBL GO Portable Wireless Bluetooth Speaker with Mic (Orange) Colour:Orange   Packed in a pocket-size body, JBL Go speaker delivers powerful and high impact sound. It takes the entertainment quotient higher with its effective audio output which comes at a reasonable price range. This speaker is designed with minimalistic approach to size and is easily portable. You can carry it to family picnics, beach parties, sports practice or to your evening walks for keeping yourself entertained. The beauty of this JBL speaker is that it comes with Bluetooth connectivity. You can play your favourite sound tracks available on your mobile phone by simply pairing this speaker to it. It gives you 5 hours of non-stop entertainment once fully charged. This JBL speaker also has Aux-In slot available that enables you to connect various other media devices to it. The built-in speakerphone available on this JBL speaker has noise cancellation technology. It allows you to take calls conveniently. This dual functionality makes this speaker a great value for money product."
Electronics,"Jbl Control 25T High O/P Indoor/Outdoor Loudspeaker System -Black Designed for both indoor and outdoor applications, the robust Control 25 is possibly the most versatile of JBL's indoor/outdoor Control Contractor Series speakers. Ideal for theme park, health clubs, parks and restaurants, the Control 25 is easily mounted and highly theft deterrent due to the unique InvisiBall mounting. InvisiBall adds the benefit of vertical rotation of up to 37Â° off-axis and horizontal rotation of up to 44Â° off-axis and all adjustments are made from behind the logo badge without having to remove the grill."
Electronics,"Boat Stone 1000 Bluetooth Speaker with Monstrous Sound Experience the monstrous sound on the all new Stone 1000 with a 14W speaker output. boAt Stone 1000 is not just your average Bluetooth speaker. It is much more than that; it is far more capable than that. The ultimate party speaker everyone has been looking for is finally here. Show off all your dancing moves on your favorite tunes all night long with a playback time of 10 hours. That’s not it, Stone 1000 also has a talk of up to 20 hours. Never let the essence of the party vanish with Stone 1000 the ultimate party speaker. How do I connect my Bluetooth device toStone1000? After connecting stone 1000 to a power source for the first time, the speaker will be in Bluetooth pairing mode and the status light will be on. If it is not on, press and hold the source selection button for three seconds until the light begins. Now that your stone 1000 is searching for a Bluetooth device to pair with, follow the instructions listed below: 1) Go to the ""settings"" menu on your Bluetooth device and turn Bluetooth to ""On"" or ""Discover"". 2) Locate the list of available Bluetooth connections on your device. ""Stone 1000"" will appear on your device as an option. For many devices it will also indicate ""Stone 1000"" as ""not paired."" Select your ""stone 1000"" from the list. 3) Once a pairing is established your stone 1000 will play an audible tone beep, stone 1000 is now paired, connected and ready to use. Simply start playing audio on your Bluetooth device and enjoy the sound of your stone 1000. Bluetooth Troubleshooting Issue: Unable to pair Bluetooth headset with a new device Resolution: Make sure the Bluetooth Headset is in pairing mode as indicated by the appropriate voice prompts and/or light pattern ( blue led ). Make sure Bluetooth is enabled on the device and your device is within range. If you are still unable to pair the Bluetooth device Issue: Unable to connect Bluetooth Headset to a device? Resolution: Make sure:- • The headset has previously been paired with the device • The device is turned on • Bluetooth is enabled on the device • The device is within range • The device is not connected to any other Bluetooth device • The Headset is not connected to another device • If you are still unable to connect, turn your headset off and back on. If problems persist, delete/unpair/forget the Headset from the Bluetooth menu of your devices and repeat the pairing process. Issue: No sound or low volume Resolution: Adjust the volume of both the headset and your device to achieve the desired volume level. Issue: Won't turn on or turns on and then off Resolution: Charge your boat Bluetooth headset. Issue: Unable to connect via laptop/pc bluetooth Resolution: • Make sure your laptop driver is updated • Restart your system and try again Issue: Headset is not charging Resolution: If using a wall charger, make sure it is plugged in to a powered outlet. If using a computer, make sure the computer is on and the USB port has power. Issue: Headset won't control calls/media players Resolution: Your Bluetooth device is compatible with many Bluetooth versions, but not all versions of Bluetooth support call and media control functions. Functionality is also dependent upon the device, operating system on the device (smartphone), and application. Some functions, such as rejecting a call, Redialing, or Voice dialing are only available on newer smartphones and selected applications. Please check the device manual for further information. Issue: Crackling noise, static, interference Resolution: Make sure you are within range of your Bluetooth-enabled device. Bluetooth devices are susceptible to interference from other Bluetooth devices, microwave ovens, power stations and transmission lines, Direct Satellite Service (DSS), and wireless devices operating on the 2.4 GHz band. Eliminate as many potential sources of interference as possible while using your Bluetooth boat device. Issue: My Android Phone Doesn't Pair With Your Wireless Headsets Resolution: All of our wireless devices use Bluetooth technology, which is a feature of most, if not all, smartphones. If you are unable to pair the Headset after making sure it is in pairing mode, please try clearing out the cache on the Bluetooth section of the phone. Restart and try again. For queries/assistance please contact_us on: [ 12230147239 ]."
Electronics,"5 Core Trolley Type PA Personal DJ System The best-selling, well-approved, sturdy, and rugged 5C PDJ 2009BT Portable Wireless Amplifier with striking features such as built-in MP3 playback facility alongside easy-to-port-trolley with premium-quality V.H.F Microphone included in the accessories. Features: With Bluetooth Mode enabled Built in MP3 playback facility, excellent sound Good transmitting & receiving capacity of remote Two Highly Advanced easy-grip Wireless Microphones with Digital Display and Great Sensitivity pick-up (best in its class) Low power consumption Standby – 48 Hours DJ Light Available Long battery life Transformer with copper wire and best grade core Portable, USB, Echo, FM, Wireless Microphone cartridge – Neodymium magnet cartridge Rechargeable, USB, Echo, FM, 8-inch speaker With trolley for easy to carry and convenience Drawer is placed at the back of the cabinet to keep the accessories safe and easy to carry. Technical Specifications: Receiver: Music Power - 100W (MAX) Frequency Range - 180-270 MHZ S/N Ratio: - ≥ 80dB Power Supply - AC220V-240V 50/60 Hz ~50Hz/Built-in DC 12V, Rechargeable battery Receive Type - FM Frequency Shock: - ±0.005% (–20°C~40°C) T.H.D - <0.5% (10dB V) Freq. Response - 150Hz~15KHz Transmitter: Freq. Response - 150Hz~15KHz Operating Temp. - –20°C~40°C Power Supply - DC 9V Ampere Consume - 25mA Transmit Power - 10mW Subharmonic - <50dB Receiver: Input - Double Wireless Channel, 2 Wired MIC input, 1 Line input. Speaker - Woofer: 4Ω (8""x1) Tweeter - 4Ω (3""x1) Service Distance - Ø80m (in the wide open of spaces) Size - 300X253X470mm Built-in Rechargeable: Battery - DC 12/4Ah Weight - 12.7 Kgs"
Electronics,"JBL GO Portable Wireless Bluetooth Speaker with Mic (Blue) Colour:Blue   The JBL GO brings JBL quality sound everywhere. Your all-in-one speaker solution, the GO streams music via Bluetooth from smartphones and tablets, powered by a rechargeable battery with up to 5 hours of playtime. It is also equipped with a convenient noise-cancelling speakerphone, allowing you to pick up calls without turning your speaker off. Available in 8 vibrant colors with a smooth and durable double-injection finishing, the JBL GO provides exciting, eye-catching contrast wherever it goes and easily compliments anyone’s style. A built-in strap-hook and optional carrying strap, allows you to bring your music everywhere. In a world where style and audio go hand in hand, the JBL GO is everyone’s perfect companion."
Electronics,"JBL GO Portable Wireless Bluetooth Speaker with Mic (Gray) Colour:Grey   Product Description Packed in a pocket-size body, JBL Go speaker delivers powerful and high impact sound. It takes the entertainment quotient higher with its effective audio output which comes at a reasonable price range. This speaker is designed with minimalistic approach to size and is easily portable. You can carry it to family picnics, beach parties, sports practice or to your evening walks for keeping yourself entertained. The beauty of this JBL speaker is that it comes with Bluetooth connectivity. You can play your favourite sound tracks available on your mobile phone by simply pairing this speaker to it. It gives you 5 hours of non-stop entertainment once fully charged. This JBL speaker also has Aux-In slot available that enables you to connect various other media devices to it. The built-in speakerphone available on this JBL speaker has noise cancellation technology. It allows you to take calls conveniently. This dual functionality makes this speaker a great value for money product. Troubleshooting steps for Bluetooth connectivity: Power on the JBL GO. For 3 seconds, press and hold the Volume + button, and the Bluetooth button at the same time. The JBL GO will power off, and is now reset. Forget the device on your Bluetooth Settings and Pair the speaker again with your device 				    	 					 From the Manufacturer     Wireless Bluetooth Streaming  Enjoy JBL quality sound wirelessly via Bluetooth.     Rechargeable Battery  Up to five hour playtime.      Built-in Speakerphone  With noise and echo cancellation     Audio Cable Input  Allows you to play music with a wired connection."
Electronics,"Zoook Rocker Volcano 60 Watts TWS Bluetooth Speaker - Extra Loud - Extra Bass - IPX 5 /Party Speaker Make Room For Volcano: Let the good times roll with the ZOOOK Rocker Volcano - a modern and exciting Bluetooth speaker that brings the enjoyment of live music into your home. Engineered to deliver the best sound possible, Rocker Volcano contains two powerful 25W drivers and two 5W radiators. Featuring big sound and contemporary design , ZOOOK Rocker Volcano is a fresh alternative for people that want a high quality speaker for the home or Outdoors."
Electronics,"Electronic traders Ahuja SCM 15T Speakers Ahuja scm 15t speakerIndoor and outdoor applications such as in halls, auditoria, airport loungesWeather resistant for use under roof eaves. Foam layer to protect speakers from dust"
Electronics,"Boat Stone 600 Water-Proof and Shock-Proof Wireless Speakers (Black) Colour:Black   boAt Stone 600 Bluetooth speaker that can be wirelessly connected to Bluetooth devices such as Smartphone, tablets and computers to playback any music collection stored on them. Thanks to its powerful battery, the system delivers powerful sound, separated from any mains supply, for up to 6-8 hours and is the perfect companion for you in the park, whilst camping or on the beach. Process control, can get rid of complicated connections and wiring distance constraints, users can enjoy high-quality music. Plug it in plug into Nirvana. boAt Please contact_us on: [ 02242102403 ] List of service centers - 131, Guru Gobind Singh Industrial Estate, Next to Jay coach, Off W.E.Highway, Goregaon (E), Mumbai - 400 063. India."
Electronics,"Ahuja Portable PA Systems XPA-1500Dp With USB Input, SD & MMC Card Reader and Bluetooth XPA-1500DP 125 WATTS Portable PA Amplifier SystemXPA-1500DP has a built-in Power Amplifier with multiple inputs for use in a wide variety of PA and Musical Programmes. Feature packed XPA-1500DP is an ideal equipment for small as well as medium gathering of around 200 people. Applications include Music and Vocal Performances, Conferences and Lectures, Presentations, Religious Discourses and Gatherings, Stage Monitors, Touring PA, Mini-Theaters, Pubs and Bars etc. 3 Microphone Inputs. Inputs for CD & Aux sources, Line Input. Line out to link another XPA-1500DP 2-Way Speaker System 10” Full Range Speaker (2” edgewound voice coil) + Dynamic Horn (Ø1.0” voice coil). Built-in MP3 player with remote control and with SD/MMC card reader & Bluetooth Facility"
